Cores,Render_composite,Render_encode,Resolution,Base,Camera Angle,Calc Ray start,Sample Volume,Write Surface,Total Render,pixels,actual pixels,objects,rank,frame, ssp
16,0.010566,0.195082,1059,302,0,0.000415932,0.0899033,0.000199719,0.0915801,79360,56388,27543608,15,1,123
16,0.010566,0.195082,1059,302,0,0.000372432,0.09103,0.000213167,0.0925711,79360,56388,27543608,15,2,123
16,0.010566,0.195082,1059,302,0,0.000399708,0.085874,0.000210686,0.0875258,79360,56388,27543608,15,3,123
16,0.010566,0.195082,1059,302,0,0.000450917,0.0954216,0.00020971,0.0970037,79360,56388,27543608,15,4,123
16,0.010566,0.195082,1059,302,0,0.000402811,0.0938239,0.000197365,0.0953567,79360,56388,27543608,15,5,123
16,0.010566,0.195082,1059,302,0,0.000450934,0.0962415,0.000192717,0.0978373,79360,56388,27543608,15,6,123
16,0.010566,0.195082,1059,302,0,0.000252497,0.0956461,0.000198847,0.097009,79360,56388,27543608,15,7,123
16,0.010566,0.195082,1059,302,0,0.000345399,0.0848426,0.000195084,0.0863151,79360,56388,27543608,15,8,123
16,0.010566,0.195082,1059,302,0,0.00044892,0.0923775,0.000193364,0.0939877,79360,56388,27543608,15,9,123
16,0.012926,0.262495,1147,131,0,0.00139652,0.287609,0.000634202,0.293031,370358,240049,2248091,0,1,131
16,0.012926,0.262495,1147,131,0,0.0010571,0.263528,0.000623052,0.267918,370358,240049,2248091,0,2,131
16,0.012926,0.262495,1147,131,0,0.0010621,0.32605,0.000620244,0.330408,370358,240049,2248091,0,3,131
16,0.012926,0.262495,1147,131,0,0.00108795,0.226188,0.000588728,0.230736,370358,240049,2248091,0,4,131
16,0.012926,0.262495,1147,131,0,0.00105511,0.242491,0.000590286,0.246796,370358,240049,2248091,0,5,131
